id,campaign_id,metric_date,impressions,clicks,conversions,spend_cents,revenue_cents
173,6,2026-09-01,16390,276,6,36000,72000
174,6,2026-09-02,13885,215,7,36000,72000
175,6,2026-09-03,15782,291,7,36000,72000
176,6,2026-09-04,12940,187,4,36000,72000
177,6,2026-09-05,18375,333,7,36000,72000
178,6,2026-09-06,12694,206,5,36000,72000
179,6,2026-09-07,15370,219,7,36000,72000
180,6,2026-09-08,24000,360,9,36000,75600
181,7,2026-08-10,14281,259,8,22015,44030
182,7,2026-08-11,14813,210,7,18690,37380
183,7,2026-08-12,12296,205,4,23985,47970
184,7,2026-08-13,19905,308,9,28952,57904
185,7,2026-08-14,18413,336,10,32256,64512
186,7,2026-08-15,17052,240,5,26880,53760
187,7,2026-08-16,17337,328,7,28864,57728
188,7,2026-08-17,19393,324,11,37260,74520
189,7,2026-08-18,14377,240,8,25920,51840
190,7,2026-08-19,17615,300,8,24000,48000
191,7,2026-08-20,16661,262,6,31440,62880
192,7,2026-08-21,16138,299,10,24518,49036
193,7,2026-08-22,12328,201,7,23517,47034
194,7,2026-08-23,21052,377,11,40339,80678
195,7,2026-08-24,14849,251,8,20833,41666
196,7,2026-08-25,21090,335,9,37855,75710
197,7,2026-08-26,21081,391,12,46920,93840
198,7,2026-08-27,19795,375,9,31125,62250
199,7,2026-08-28,17444,308,10,28952,57904
200,7,2026-08-29,19790,307,9,29779,59558
201,7,2026-08-30,13079,217,6,17794,35588
202,7,2026-08-31,17302,322,10,36708,73416
203,7,2026-09-01,18652,287,9,40000,80000
204,7,2026-09-02,14089,202,5,40000,80000
205,7,2026-09-03,15625,265,5,40000,80000
206,7,2026-09-04,16725,272,8,40000,80000
207,7,2026-09-05,12571,197,4,40000,80000
208,7,2026-09-06,14191,233,8,40000,80000
209,7,2026-09-07,20500,301,7,40000,80000
210,7,2026-09-08,10000,150,0,40000,0
211,8,2026-08-10,20579,326,7,27058,54116
212,8,2026-08-11,21413,327,11,28449,56898
213,8,2026-08-12,12422,176,5,20240,40480
214,8,2026-08-13,19447,301,10,34615,69230
215,8,2026-08-14,21536,384,10,38016,76032
216,8,2026-08-15,15451,231,8,20790,41580
217,8,2026-08-16,20101,315,10,28665,57330
218,8,2026-08-17,20624,316,10,32548,65096
219,8,2026-08-18,16704,244,6,27572,55144
220,8,2026-08-19,16069,305,10,27450,54900
221,8,2026-08-20,12122,201,6,19698,39396
222,8,2026-08-21,16378,285,6,31635,63270
223,8,2026-08-22,21571,306,8,35190,70380
224,8,2026-08-23,12721,210,6,21420,42840
225,8,2026-08-24,20010,300,8,33000,66000
226,8,2026-08-25,16754,270,6,28080,56160
227,8,2026-08-26,18813,333,10,27639,55278
228,8,2026-08-27,19956,370,8,42550,85100
229,8,2026-08-28,14144,221,7,18564,37128
230,8,2026-08-29,20365,300,10,29100,58200
231,8,2026-08-30,21173,362,7,29322,58644
232,8,2026-08-31,16146,248,8,29016,58032
233,8,2026-09-01,17981,259,6,50000,100000
234,8,2026-09-02,13858,257,6,50000,100000
235,8,2026-09-03,16408,257,8,50000,100000
236,8,2026-09-04,16213,288,7,50000,100000
237,8,2026-09-05,14428,252,7,50000,100000
238,8,2026-09-06,14699,255,8,50000,100000
239,8,2026-09-07,12085,192,5,50000,100000
240,8,2026-09-08,25000,500,10,50000,35000
241,9,2026-08-10,14264,259,5,31080,62160
242,9,2026-08-11,18161,322,10,28980,57960
243,9,2026-08-12,12324,213,5,19809,39618
244,9,2026-08-13,17170,281,6,29505,59010
245,9,2026-08-14,19747,372,11,31620,63240
246,9,2026-08-15,20488,342,10,29070,58140
247,9,2026-08-16,18397,282,9,31866,63732
248,9,2026-08-17,14107,250,6,23750,47500
249,9,2026-08-18,14999,243,6,22842,45684
250,9,2026-08-19,17526,328,9,30176,60352
251,9,2026-08-20,21538,374,10,39644,79288
252,9,2026-08-21,12073,229,6,24045,48090
253,9,2026-08-22,15299,232,8,22272,44544
254,9,2026-08-23,19674,371,10,44520,89040
255,9,2026-08-24,13921,204,4,19584,39168
256,9,2026-08-25,15525,223,5,24753,49506
257,9,2026-08-26,13365,199,5,20497,40994
258,9,2026-08-27,14547,235,8,27025,54050
259,9,2026-08-28,15955,259,6,25123,50246
260,9,2026-08-29,13439,243,7,24300,48600
261,9,2026-08-30,19657,288,9,23328,46656
262,9,2026-08-31,13987,203,4,19082,38164
263,9,2026-09-01,19340,312,7,32000,64000
264,9,2026-09-02,18405,308,9,32000,64000
265,9,2026-09-03,20500,352,9,32000,64000
266,9,2026-09-04,17450,307,10,32000,64000
267,9,2026-09-05,12855,215,6,32000,64000
268,9,2026-09-06,20947,346,7,32000,64000
269,9,2026-09-07,17140,254,6,32000,64000
270,9,2026-09-08,22000,330,8,32000,64000
271,10,2026-08-10,18767,270,8,21870,43740
272,10,2026-08-11,16162,247,7,20254,40508
273,10,2026-08-12,15538,278,8,24186,48372
274,10,2026-08-13,17665,312,7,34320,68640
275,10,2026-08-14,17883,290,9,23200,46400
276,10,2026-08-15,17306,298,6,33674,67348
277,10,2026-08-16,12170,215,7,21715,43430
278,10,2026-08-17,16592,245,7,25970,51940
279,10,2026-08-18,12519,211,7,21100,42200
280,10,2026-08-19,13565,226,6,21922,43844
281,10,2026-08-20,17976,323,11,30362,60724
282,10,2026-08-21,19553,359,10,40567,81134
283,10,2026-08-22,15979,283,6,30847,61694
284,10,2026-08-23,20111,368,10,32384,64768
285,10,2026-08-24,14135,250,8,24000,48000
286,10,2026-08-25,12077,172,4,16168,32336
287,10,2026-08-26,19273,304,10,24320,48640
288,10,2026-08-27,13632,213,5,23430,46860
289,10,2026-08-28,17504,290,6,33640,67280
290,10,2026-08-29,14183,233,7,20970,41940
291,10,2026-08-30,19351,337,7,40103,80206
292,10,2026-08-31,17290,311,10,27368,54736
293,10,2026-09-01,20687,325,11,0,0
294,10,2026-09-02,18243,322,10,0,0
295,10,2026-09-03,14638,265,8,0,0
296,10,2026-09-04,19439,334,12,0,0
297,10,2026-09-05,17224,306,9,0,0
298,10,2026-09-06,12335,185,4,0,0
299,10,2026-09-07,14977,268,6,0,0
300,10,2026-09-08,0,0,0,0,0
301,11,2026-08-10,12299,194,7,23280,46560
302,11,2026-08-11,14517,219,5,18615,37230
303,11,2026-08-12,14226,219,6,20367,40734
304,11,2026-08-13,19174,328,7,27224,54448
305,11,2026-08-14,16265,239,5,19120,38240
306,11,2026-08-15,16273,258,7,20898,41796
307,11,2026-08-16,20687,346,11,35292,70584
308,11,2026-08-17,21259,303,9,25149,50298
309,11,2026-08-18,20476,384,13,36096,72192
310,11,2026-08-19,17353,313,6,29735,59470
311,11,2026-08-20,16309,278,7,22518,45036
312,11,2026-08-21,21566,401,10,33684,67368
313,11,2026-08-22,20687,341,8,31031,62062
314,11,2026-08-23,16416,285,8,24795,49590
315,11,2026-08-24,20089,352,12,29920,59840
316,11,2026-08-25,14218,220,5,21340,42680
317,11,2026-08-26,15654,255,9,30600,61200
318,11,2026-08-27,19028,343,7,35672,71344
319,11,2026-08-28,20583,373,11,43641,87282
320,11,2026-08-29,12650,234,6,22698,45396
321,11,2026-08-30,19834,289,9,33524,67048
322,11,2026-08-31,15086,286,8,26312,52624
323,11,2026-09-01,21919,416,9,20000,40000
324,11,2026-09-02,14515,221,7,20000,40000
325,11,2026-09-03,12335,190,4,20000,40000
326,11,2026-09-04,13550,224,5,20000,40000
327,11,2026-09-05,14340,224,5,20000,40000
328,11,2026-09-06,20916,387,10,20000,40000
329,11,2026-09-07,18370,303,8,20000,40000
330,11,2026-09-08,6000,90,3,8000,18000
331,12,2026-08-10,21190,335,12,34505,69010
332,12,2026-08-11,15751,298,8,33972,67944
333,12,2026-08-12,19774,360,12,41040,82080
334,12,2026-08-13,18985,358,7,41886,83772
335,12,2026-08-14,18636,336,8,34608,69216
336,12,2026-08-15,16449,301,7,28595,57190
337,12,2026-08-16,16031,225,5,19350,38700
338,12,2026-08-17,18243,328,9,38048,76096
339,12,2026-08-18,13212,191,6,16235,32470
340,12,2026-08-19,13163,235,7,20680,41360
341,12,2026-08-20,15233,286,7,27742,55484
342,12,2026-08-21,18659,351,8,41418,82836
343,12,2026-08-22,19846,342,11,35910,71820
344,12,2026-08-23,21889,392,8,46648,93296
345,12,2026-08-24,16335,239,6,27963,55926
346,12,2026-08-25,20862,352,10,34496,68992
347,12,2026-08-26,21947,331,9,31445,62890
348,12,2026-08-27,20055,312,9,32448,64896
349,12,2026-08-28,19868,366,10,43554,87108
350,12,2026-08-29,16318,249,8,20418,40836
351,12,2026-08-30,13367,208,5,19760,39520
352,12,2026-08-31,17605,285,6,32775,65550
353,12,2026-09-01,14387,233,6,24000,48000
354,12,2026-09-02,20476,289,10,24000,48000
355,12,2026-09-03,13642,228,8,24000,48000
356,12,2026-09-04,14469,249,6,24000,48000
357,12,2026-09-05,14011,216,6,24000,48000
358,12,2026-09-06,13407,203,5,24000,48000
359,12,2026-09-07,17022,302,9,24000,48000
360,12,2026-09-08,15000,225,6,24000,48000
361,13,2026-08-10,16333,243,5,19440,38880
362,13,2026-08-11,15757,245,7,22785,45570
363,13,2026-08-12,13094,193,6,22774,45548
364,13,2026-08-13,13590,221,5,17680,35360
365,13,2026-08-14,15251,227,7,22927,45854
366,13,2026-08-15,19688,338,7,29744,59488
367,13,2026-08-16,20152,363,9,34122,68244
368,13,2026-08-17,16399,251,7,28614,57228
369,13,2026-08-18,14192,259,7,20979,41958
370,13,2026-08-19,12292,229,6,26793,53586
371,13,2026-08-20,19939,308,9,33264,66528
372,13,2026-08-21,20382,371,12,34132,68264
373,13,2026-08-22,13014,188,5,16920,33840
374,13,2026-08-23,17274,318,7,27030,54060
375,13,2026-08-24,17202,290,8,32480,64960
376,13,2026-08-25,15037,243,8,20169,40338
377,13,2026-08-26,13596,218,7,25288,50576
378,13,2026-08-27,20205,341,12,37851,75702
379,13,2026-08-28,16718,282,9,30174,60348
380,13,2026-08-29,17108,323,7,30362,60724
381,13,2026-08-30,14985,244,5,24400,48800
382,13,2026-08-31,21547,315,10,35595,71190
383,13,2026-09-01,17764,277,7,70000,140000
384,13,2026-09-02,12878,199,6,70000,140000
385,13,2026-09-03,18913,357,11,70000,140000
386,13,2026-09-04,17827,250,6,70000,140000
387,13,2026-09-05,13986,224,6,70000,140000
388,13,2026-09-06,13058,248,8,70000,140000
389,13,2026-09-07,17034,287,9,70000,140000
390,13,2026-09-08,50000,1000,5,70000,35000
391,14,2026-08-10,14776,225,7,25200,50400
392,14,2026-08-11,15355,251,5,21084,42168
393,14,2026-08-12,12006,187,6,19635,39270
394,14,2026-08-13,16557,251,7,29367,58734
395,14,2026-08-14,16958,251,5,26104,52208
396,14,2026-08-15,17256,300,6,24600,49200
397,14,2026-08-16,13940,234,5,19188,38376
398,14,2026-08-17,15957,263,8,28930,57860
399,14,2026-08-18,13804,228,7,21432,42864
400,14,2026-08-19,13553,203,5,19082,38164
401,14,2026-08-20,16153,235,5,25380,50760
402,14,2026-08-21,17948,291,6,25899,51798
403,14,2026-08-22,15909,229,6,18549,37098
404,14,2026-08-23,17340,287,6,22960,45920
405,14,2026-08-24,14438,202,6,19796,39592
406,14,2026-08-25,21317,347,11,39558,79116
407,14,2026-08-26,16975,321,8,35310,70620
408,14,2026-08-27,15389,260,6,27820,55640
409,14,2026-08-28,19683,330,7,27060,54120
410,14,2026-08-29,15297,271,8,31707,63414
411,14,2026-08-30,14549,247,6,26923,53846
412,14,2026-08-31,16213,255,5,28305,56610
413,14,2026-09-01,15916,229,7,200,400
414,14,2026-09-02,15559,269,6,200,400
415,14,2026-09-03,16580,301,8,200,400
416,14,2026-09-04,17203,324,11,200,400
417,14,2026-09-05,14483,204,4,200,400
418,14,2026-09-06,14109,229,6,200,400
419,14,2026-09-07,19074,284,10,200,400
420,14,2026-09-08,500,1,0,200,0
421,15,2026-08-10,0,0,0,0,0
422,15,2026-08-11,0,0,0,0,0
423,15,2026-08-12,0,0,0,0,0
424,15,2026-08-13,0,0,0,0,0
425,15,2026-08-14,0,0,0,0,0
426,15,2026-08-15,0,0,0,0,0
427,15,2026-08-16,0,0,0,0,0
428,15,2026-08-17,0,0,0,0,0
429,15,2026-08-18,0,0,0,0,0
430,15,2026-08-19,0,0,0,0,0
431,15,2026-08-20,0,0,0,0,0
432,15,2026-08-21,0,0,0,0,0
433,15,2026-08-22,0,0,0,0,0
434,15,2026-08-23,0,0,0,0,0
435,15,2026-08-24,0,0,0,0,0
436,15,2026-08-25,0,0,0,0,0
437,15,2026-08-26,0,0,0,0,0
438,15,2026-08-27,0,0,0,0,0
439,15,2026-08-28,0,0,0,0,0
440,15,2026-08-29,0,0,0,0,0
441,15,2026-08-30,0,0,0,0,0
442,15,2026-08-31,0,0,0,0,0
443,15,2026-09-01,0,0,0,0,0
444,15,2026-09-02,0,0,0,0,0
445,15,2026-09-03,0,0,0,0,0
446,15,2026-09-04,0,0,0,0,0
447,15,2026-09-05,0,0,0,0,0
448,15,2026-09-06,0,0,0,0,0
449,15,2026-09-07,0,0,0,0,0
450,15,2026-09-08,0,0,0,0,0
